Source,Heading,Category,URL,Text
Power Transmissiom,28 NKE Offers Rolling Bearings for Gearboxes,Bearings, http://www.powertransmission.com/news/5553/NKE-Offers-Rolling-Bearings-for-Gearboxes/,"  June 10, 2014—NKE Austria offers rolling bearings for industrial gearboxes that meet the efficiency and reliability requirements of a wide range of sectors, such as general machinery, mining, material handling systems and heavy machinery. âÂœSuitable bearings play a vital role in industrial gearboxes. Speeds, loads and available space are just some of the many factors that must be taken into account when designing a drive system capable of reliably meeting the demands placed on it, during long term operation.âÂÂ explains Daniel Thalmann, application engineering manager at NKE.  One of the major strengths of the Steyr-based rolling bearing manufacturer is its range of single row cylindrical roller bearings. NKE manufactures over 3,000 different variants, which enable an enormous variety of application possibilities. The bearings are suitable for high radial loads and moderate to high speeds. Made from pure rolling bearing steel, they have an exceptional lifespan, while the racewaysâÂ™ high surface quality reduces the operating temperature down and wear. The inner and outer rings of the cylindrical roller bearings can be fitted separately, simplifying installation. Notable for their outstanding economy and operating reliability, they can be produced at the Steyr factory with short lead times. In addition to cylindrical roller bearings, NKEâÂ™s standard portfolio of industrial gearbox bearings comprises spherical and taper roller bearings as well as angular contact and deep groove ball bearings. Of particular interest are the companyâÂ™s special bearings for gearboxes, which are developed in close cooperation with the customer and ensure optimum balance of space and performance. NKE offers gearbox manufacturers a comprehensive service including consulting, assistance with design, calculations and training courses. All bearings made by NKE are subject to stringent quality requirements and are tested using modern inspection and measurement procedures. NKE produces standard and special bearings for all industrial applications. Engineering, product development, production and final processing of components, modular assembly, quality assurance, logistics, sales and marketing are centralised at NKEâÂ™s headquarters in Steyr, Austria. A wide range of standard bearings is available from stock or at short production lead-times. NKE also provides tailored products and solutions. NKEâÂ™s products are distributed through 15 international representative offices and more than 240 distribution outlets in 60 countries.  "
Power Transmissiom,30 New Needle Roller Pressbearings from QBC Are Self-Aligning,Bearings, http://www.powertransmission.com/news/3817/New-Needle-Roller-Pressbearings-from-QBC-Are-Self-Aligning/,  New Needle Roller Pressbearings from QBC Are Self-Aligning 
Power Transmissiom,32 IMTS Preview: Kashima Bearings,Bearings, http://www.powertransmission.com/news/9027/IMTS-Preview-Kashima-Bearings/,"  The unique properties of Kashima plastic bearings make them ideal for use in a range of applications, including the wet environment of the food-processing industry.  "
Power Transmissiom,34 Daimler Germany Selects Fersa Bearings as Official Supplier  ,Bearings, http://www.powertransmission.com/news/9508/Daimler-Germany-Selects-Fersa-Bearings-as-Official-Supplier-/,  Fersa bearing produced for the axles of commercial vehicles such as the Actros.  
Power Transmissiom,36 LM76 Releases Self Lubricating Bearings,Bearings, http://www.powertransmission.com/news/2721/LM76-Releases-Self-Lubricating-Bearings/,"  Self lubricating, sintered bronze and power metal alloy plain bearings from LM76 feature: high precision, high load capacity, high speed, high temperature, very low coefficient of friction, and low noise.  Available in inch sizes (0.250 in. to 2.500 in. ID x 2.000 in. long) and metric sizes (2 mm to 100 mm ID x 120 mm long) these bearings are suitable for washing machines, exercise equipment, portable machine tools, toys, motors and automotive equipment such as alternators. Because of the very low coefficient of friction these bearings show no wear after many thousands of hours of use.  Standard inch and metric cylindrical and flanged oil impregnated bearings are typically shipped from stock,  Custom bearings (ID, OD, flange size, and length) can be ordered as well as special purpose alloys.  Alloys include: sintered bronze, iron sintered bronze, Paralite (non-migrating lubricant), and Triboloy (chromium, nickel, cobalt alloy for temperatures over 1000 degrees  F). Triboloy sintered bearings are resistant to corrosion, erosion, abrasion, and galling, and even at high temperatures they are resistant to oxidation. LM76 also manufacturers a variety of FDA & USDA compliant bearings and shafting, in inch sizes of .25 inches to 1.5 inches, and a FDA & USDA compliant profile rail and slide system that can easily be integrated into new and existing applications.  The bearing options include: Self-lubricating FDA & USDA compliant Teflon composite bearings in a 304 stainless steel shell, and lower cost bearings with a ceramic coated shell and FDA & USDA compliant liner.  Bearings are available in closed and open configurations, and are drop-in replacements for all inch sized linear ball bearings.  "
Power Transmissiom,38 Emersons Bearings Capable of Enduring Harsh Conditions,Bearings, http://www.powertransmission.com/news/937/Emersons-Bearings-Capable-of-Enduring-Harsh-Conditions/,"  March 4, 2010—Sealmaster offers paver bearings designed to withstand abrasive paving conditions and asphalt materials. A four-barrier seal technology protects the bearing’s inner components from contaminants. The barrier, comprising a ductile iron end cap, rotating shield, self-adjusting washer and high-temperature seal, keeps asphalt from forcing its way into the bearing, filters out asphalt particles, withstands high temperatures, and resists asphalt erosion. ""Today’s asphalt materials can cause serious damage to bearings, but seal technology gives Sealmaster paver bearings longer life and better performance, "" says Kevin Mues, senior staff engineer for Paver Bearings, Emerson Power Transmission. According to the company’s press release, each Sealmaster paver bearing features a heavy-duty housing and high-strength, brass retainer. Factory lubrication is chosen to best fit bearing operation conditions.   "
Power Transmissiom,40 Frelon Lined Linear Bearings from QBC Offer Load and Wear Rate Design Advantages,Bearings, http://www.powertransmission.com/news/1098/Frelon-Lined-Linear-Bearings-from-QBC-Offer-Load-and-Wear-Rate-Design-Advantages/,"  An expanded line of linear ball bearings from Quality Bearings & Components are stocked in both U.S. and European standard specifications. These steel bearings conform to AISI 52100 standards and are hardened to HRc 60-64. They are available in adjustable, open or closed and standard or heavy-duty types. They are stocked in inch and metric sizes with bore sizes that range from .375"" to 1.500"" (8 mm to 40 mm) diameter. The number of ball circuits in each unit can range from 4 to 8. Unit lengths range from .875"" to 3"" (25 mm to 80 mm). Buy it: http://www.qbcbearings.com/Buy/LinearBearings.htm  View catalog page:  http://www.qbcbearings.com/B620/HTML/100.html Request catalog:  https://qbcbearings.com/qbc_orderusa.htm   "
Power Transmissiom,42 Roller Bearings Key to Energy Efficiency,Bearings, http://www.powertransmission.com/news/3368/Roller-Bearings-Key-to-Energy-Efficiency/,"  Schaeffler rolling bearings contribute to saving energy, conserving resources and increasing performance. Schaeffler Group Industrial’s efficient rolling bearings with optimized  friction from the INA and FAG brands are a key component for the entire  industry. Rolling bearings make an important contribution to saving  energy and conserving resources and, at the same time, increase the  performance and competitiveness of machines and plants. The Schaeffler  Group’s range of energy-efficient solutions not only covers the design  and production of rolling bearings with optimized friction, but also  includes the development and use of simulation and calculation tools and  the analysis and an understanding of the entire system with its bearing  supports. The new machined needle roller bearing with the TWin Cage made of  plastic provides higher efficiency as a result of lower friction. In  this bearing, two short needle rollers can be inserted next to each  other in one cage pocket instead of the otherwise usual single long  needle roller. This completely new combination of cage and rolling  elements achieves a significantly lower frictional torque in comparison  with conventional needle roller bearings.  All geometric parameters of inner ring, outer ring and rolling  elements have been revised for the new FAG Generation C deep groove ball  bearings. The optimized osculation of the rolling elements on the rings  has made it possible to reduce the friction by up to 35 percent  compared with the previous generation. The operating life and  performance increase significantly with considerably reduced energy  consumption.  The optimization of the rib contact in the tapered roller bearing is  particularly significant: The frictional torque of conventional tapered  roller bearings increases dramatically with increasing axial loads in  particular. The Schaeffler Group has therefore revised the geometry,  surfaces, materials and dimensional and running accuracy of its new  X-life tapered roller bearings. By using these measures in combination  with the optimized contact geometry of the inner ring rib and roller end  face, the frictional torque is reduced by up to 75 percent compared  with conventional products.  In addition to high radial loads, cylindrical roller bearings can  also support axial loads if they are used as semi-locating or locating  bearings. Axial loads are transmitted via the rolling element end faces  and ribs. Using new calculation methods and changed manufacturing  processes, the Schaeffler Group’s engineers optimized the contour of the  roller end faces and the contact conditions between the end face and  rib, and thus significantly increased the axial load carrying capacity.  The more rapid formation of a lubricating film and the lower contact  pressure reduce the frictional torque under axial loads by up to 50  percent. This increases efficiency considerably.   "
Power Transmissiom,"44 NKE Austria Manufactures 3,000 Types of Roller Bearings in New Assembly Plant",Bearings, http://www.powertransmission.com/news/915/NKE-Austria-Manufactures-3000-Types-of-Roller-Bearings-in-New-Assembly-Plant/,"    According to NSKs press releae, more than 3,000 types are made to order in NKEs new assembly plant in Steyr, Austria.    The modular production facility enables short lead times on all products. The applications of the new single row cylindrical roller bearings include pumps and compressors, mechanical presses, electric motors, gearboxes, traction motors and axle bearings for railway vehicles, in steelworks and many other industrial applications.   The new roller bearings are available in 164 sizes in design variants NU, NJ and NUP. The bearing cages are available in roller-guided and outer ring-guided versions and are made from brass and polyamide, with pressed steel versions available soon. In addition to radial clearance groups CN (CO) as standard, C3 and C4 groups are also available. Special versions, for example traction motor bearings (SQ1), wheel set bearings (SQ2) and electrically insulated bearings (SQ77) are available at short lead times.   Cylindrical roller bearings are made from clean bearing steel. The surface finish of the raceways further helps reduce friction as well as lower the operating temperature. The optimized geometries of raceways and rolling elements increase the loading capacity, while a modified cage design improves the formation of lubricant film.    Misalignments can be compensated through modified contact geometry and crowned inner raceways. Tighter tolerances for the roller sorting ensure a uniform load distribution.     "
Power Transmissiom,46 SKFs Hybrid Bearings Insulate Against Stray Electric Currents,Bearings, http://www.powertransmission.com/news/840/SKFs-Hybrid-Bearings-Insulate-Against-Stray-Electric-Currents/,"    According to SKFs press release, the ceramic rolling elements further make these bearings more durable alternatives to conventional all-steel counterparts.   In addition to their insulating properties, silicon nitride balls are 40% less dense than steel balls, which reduces centrifugal force and friction; harder than steel for enhanced wear resistance against hard particles, contaminants, and vibration; and highly inelastic for increased bearing stiffness and reduced deflection under load to promote reliable performance.   Standard types include hybrid single row deep groove ball bearings with bore diameters from 5mm to 110mm; sealed and greased-for-intended life ball bearings protected by steel-reinforced synthetic rubber seals and filled with premium lubricant; and open basic design bearings available without seals. Cages are glass fiber-reinforced polyamide or pressed steel, depending on bore size.   "
Power Transmissiom,48 Schaeffler Strengthens Deep Groove Ball Bearings Business,Bearings, http://www.powertransmission.com/news/8192/Schaeffler-Strengthens-Deep-Groove-Ball-Bearings-Business/,"  Schaeffler is investing in production and logistics for its FAG Generation C deep groove ball bearings. Schaeffler is significantly expanding its standard rolling bearing business with FAG Generation C deep groove ball bearings through substantial investments in new production and logistics capacities as well as improved product characteristics. In March, the first new high-volume production line was put into operation at the Schaeffler location in Yinchuan/China. Until the end of 2018, Schaeffler will gradually put new production lines into operation at this location and thereby double its capacity in the high-volume product series of FAG deep groove ball bearings.  Strengthening the standard production business is an important aspect of the CORE program, which was developed to realign Schaeffler's Industrial division. “Our investments will help us satisfy the high level of demand for standard deep groove ball bearings, especially from China and the Asia/Pacific region, and help us meet the specific requirements of this high-volume business in an optimum way. Our products meet the highest technical requirements and, at the same time, offer a cost-effective price-performance ratio,” explains Dr. Stefan Spindler, CEO Industrial at Schaeffler. Electric motors, household appliances, pumps and fans, electric power tools, and two-wheel vehicles are the fields of application in which FAG Generation C deep groove ball bearings are most commonly used.  More durable, less noise, low friction and cost-effective Ever since FAG Generation C deep groove ball bearings were successfully established on the market in 2008, their product characteristics have been subject to continuous improvement.  “We looked at the product, production, and logistics, and developed solutions in all areas that fulfill the highest requirements in the market,” explains Thomas Kreis, project manager for the deep groove ball bearing high-volume business at Schaeffler. Schaeffler products continue to set benchmarks when it comes to relevant technical characteristics, such as minimizing friction or noise. Two new sealing concepts have also been developed. Less grease loss and better protection against contamination extend the grease operating life and, thus, the bearing's operating life.  The new Z-type dust shield with its innovative labyrinth seal helps to reduce the egress of grease by 20%, and prevents contamination by 30% in comparison with the previous design. The patented ELS lip seal, which is optionally available, provides maximum sealing action at low friction and is particularly suitable for alternating axial loads, such as in wheel bearings in motorcycles. The improved sealing action, without any additional friction loss, is due to the innovative lip shape that is perfectly matched to the ring recess. What is more, the recesses that have been shifted to the interior of the bearing significantly improve the bearing’s robustness during handling, for example during mounting. Moreover, non-contact BRS lip seals and HRS lip seals, which start at the inner ring, are available with increased sealing action in the standard range. The high-quality of the balls and the noise-optimized cage mean that FAG Generation C deep groove ball bearings run significantly more quietly than conventional deep groove ball bearings. In addition, optimized osculation reduces friction. These characteristics can be attributed to the numerous optimizations to raceway parameters with regard to roundness, waviness, roughness, and tighter manufacturing tolerances. Reduced friction also means lower energy costs during operation. Production geared towards 100 percent quality at maximum output volume Schaeffler’s new production concept at the Yinchuan plant is entirely focused on the specific requirements of the high-volume business. The highly-automated production lines are optimally designed for these types of bearings and any variations, so that setup operations and downtimes can be reduced to a minimum. Schaeffler puts a special focus on cleanliness in the production process. For this reason, several automated washing stations that prevent even the slightest contamination of the products have been integrated into the production lines. At the same time, highly-skilled employees and several automated 100% inspection facilities ensure that the highest quality standards are met. Just like the plants in Caldas (Portugal) and Savli (India), where deep groove ball bearing products have been produced for several years, the plant in Yinchuan has been certified according to the highest ISO quality standards for the industrial and automotive sectors.  An optimized supply chain ensures prompt delivery A stockholding and logistics concept that is coordinated worldwide ensures prompt and reliable delivery to our customers from the plants in China, Portugal, and India. For Europe, setting up the new European Distribution Center (EDC) is of central importance. Operations at the locations in Northern Europe (Sweden) and Southern Europe (Italy) have already started. The “Central” logistics center in Germany is currently under construction and will start supplying customers in Central, Western, and Eastern Europe as of next year. "
Power Transmissiom,50 SKF Destroys 15 Tons of Fake Bearings,Bearings, http://www.powertransmission.com/news/7978/SKF-Destroys-15-Tons-of-Fake-Bearings/,  SKF actively supports law enforcement globally to stop the trade of counterfeit SKF products. This trade is illegal and may lead to substantial fines or imprisonment.  
